word,jawi,meaning
Alkisah,القصه,"""Maka ceritanya; bermula (digunakan untuk memulakan cerita)."""
Adiratna,اديرتنا,"""Permata yang mulia; kiasan bagi wanita yang sangat cantik atau berharga."""
Abiad,,Putih
Adicita,اديچيتا,Ideologi
Adikara,اديکارا,"""1. kekuasaan, berkuasa; 2. sewenang-wenang."""
Adikarya,اديکاريا,karya agung yang dianggap menggambarkan peradaban sesuatu bangsa
Adiwarna,اديورنا,"""amat bagus, amat indah."""
Afsun,افسون,pesona
Afwah,افوه,"""tuah (orang yang keramat)."""
Agus,اݢوس,"""bagus, elok, mulia."""
Akasa,,angkasa
Aksara,اکسارا,huruf
Alamas,الامس,intan
Alpukah,الڤوکه,"""daya usaha, inisiatif, kehandalan."""
Anca,انبياء,"""rintangan, kerugian."""